;VON_ORT_NR;VON_ORT_TYP;NACH_ORT_NR;NACH_ORT_TYP;FGR;DAUER
0;6101;1;60901;1;1;60
1;6101;1;61002;1;1;60
2;10001;1;10301;1;1;60
3;10301;1;10401;1;1;60
4;10302;1;10002;1;1;60
5;10302;1;10004;1;1;120
6;10401;1;91701;1;1;60
7;10402;1;10302;1;1;60
8;20001;1;30801;1;1;120
9;20001;1;31101;1;1;60
10;20001;1;32201;1;1;180
11;20002;1;20102;1;1;60
12;20002;1;20502;1;1;60
13;20102;1;30911;1;1;180
14;20202;1;20302;1;1;60
15;20301;1;20201;1;1;60
16;20302;1;20401;1;1;60
17;20401;1;20301;1;1;60
18;20501;1;20001;1;1;120
19;20502;1;20602;1;1;60
20;20601;1;20501;1;1;60
21;20602;1;41202;1;1;120
22;30101;1;30201;1;1;60
23;30201;1;30501;1;1;60
24;30302;1;20002;1;1;300
25;30401;1;30302;1;1;120
26;30401;1;30501;1;1;60
27;30402;1;90102;1;1;240
28;30501;1;30601;1;1;60
29;30502;1;30402;1;1;60
30;30601;1;32202;1;1;60
31;30801;1;30901;1;1;60
32;30802;1;20002;1;1;120
33;30901;1;32201;1;1;60
34;30902;1;30802;1;1;60
35;30911;1;30101;1;1;60
36;31002;1;32202;1;1;60
37;31101;1;31301;1;1;60
38;31102;1;20002;1;1;120
39;31102;1;20202;1;1;120
40;31301;1;6101;1;1;60
41;31302;1;31102;1;1;60
42;31401;1;30901;1;1;120
43;31502;1;6101;1;1;60
44;31601;1;31502;1;1;60
45;32201;1;30502;1;1;60
46;32201;1;70601;1;1;180
47;32202;1;30902;1;1;60
48;32202;1;31601;1;1;120
49;32502;1;31002;1;1;60
50;40001;1;333333;4;1;360
51;40101;1;40001;1;1;60
52;40201;1;40101;1;1;60
53;40301;1;40201;1;1;120
54;40401;1;40301;1;1;60
55;40502;1;40401;1;1;60
56;40801;1;408111;1;1;60
57;40901;1;41001;1;1;120
58;41001;1;41101;1;1;60
59;41101;1;41201;1;1;60
60;41102;1;41002;1;1;60
61;41201;1;20601;1;1;120
62;41202;1;41102;1;1;60
63;50201;1;50101;1;1;120
64;50302;1;50201;1;1;60
65;50402;1;50302;1;1;60
66;50502;1;50402;1;1;60
67;60101;1;70404;1;1;60
68;60101;1;70701;1;1;120
69;60102;1;60306;1;1;60
70;60301;1;60305;1;1;120
71;60302;1;60402;1;1;60
72;60305;1;60101;1;1;60
73;60306;1;60302;1;1;60
74;60401;1;60301;1;1;60
75;60402;1;60502;1;1;60
76;60501;1;60401;1;1;60
77;60501;1;60601;1;1;120
78;60502;1;61302;1;1;60
79;60601;1;60701;1;1;60
80;60701;1;60101;1;1;60
81;60901;1;61201;1;1;120
82;60902;1;61002;1;1;60
83;61002;1;31302;1;1;60
84;61002;1;31401;1;1;60
85;61201;1;61301;1;1;60
86;61202;1;60902;1;1;120
87;61301;1;60501;1;1;60
88;61302;1;61202;1;1;60
89;61401;1;70101;1;1;60
90;61402;1;70402;1;1;120
91;64352;1;61402;1;1;60
92;70001;1;71001;1;1;120
93;70002;1;90802;1;1;120
94;70002;1;710102;1;1;60
95;70004;1;91002;1;1;60
96;70101;1;70901;1;1;120
97;70402;1;60102;1;1;60
98;70404;1;61401;1;1;60
99;70601;1;710101;1;1;60
100;70602;1;32502;1;1;60
101;70701;1;80700;1;1;60
102;70901;1;110201;1;1;60
103;70902;1;64352;1;1;60
