;LINIE;NR;RICHTUNG;LBEZ;EXT_NR;TYP;ZIEL;ROUTEN_ZNR;LINIEN_KBEZ
0;1;1;0;Standard;1;1;10;;
1;1;2;0;Standard;2;1;10;;
2;1;3;0;Bahnhof-Staad / Autofähre;3;1;11;;
3;2;1;0;Standard;1;1;20;;
4;2;5;0;Nacht;5;1;25;;
5;2;6;0;Wollmatingen / Radolfzeller Str.-Bahnhof;6;1;20;;
6;3;1;0;Standard;1;1;30;;
7;3;2;0;Sonntag;2;1;410;;
8;4;4;1;4 Nachtschwärmer;4;1;799;;
9;4;13;0;13 Nachtschwärmer;13;1;800;;
10;5;1;1;Standard;1;1;81;;
11;5;2;0;Standard S;2;1;90;;
12;5;3;0;Standard W;3;1;90;;
13;5;5;0;So Horn;5;1;82;;
14;5;6;1;Marktstätte / Bahnhof-Laube/Niederburg;6;1;84;;
15;6;1;1;Bahnhof-ZfP Reichenau;1;1;100;;
16;6;2;0;Wollmatingen / Rathaus-Marktstätte / Bahnhof;2;1;91;;
17;6;3;0;ZfP Reichenau-Marktstätte / Bahnhof;3;1;91;;
18;6;4;1;Bahnhof-Wollmatingen / Rathaus;4;1;103;;
19;6;6;0;Stadtwerke-Marktstätte / Bahnhof;6;1;91;;
20;6;9;0;ZfP Reichenau-Wollmatingen / Kindlebildstr.;9;1;102;;
21;6;10;1;Bahnhof-Litzelstetten / Zum Purren;10;1;113;;
22;6;14;0;Litzelstetten / Zum Purren-Marktstätte / Bahnhof;14;1;91;;
23;6;17;1;Wollmatingen / Rathaus-Litzelstetten / Zum Purren;17;1;108;;
24;6;18;1;Bahnhof-Byk-Gulden-Straße ;18;1;106;;
25;6;24;0;Wallhausen / Hafen-Marktstätte / Bahnhof;24;1;91;;
26;6;27;1;Neuwerk-ZfP Reichenau;27;1;112;;
27;9;1;0;9A;1;1;150;;
28;9;2;0;9B;2;1;151;;
29;9;3;0;9 AAB;3;1;150;;
30;9;4;0;9 BAB;4;1;158;;
31;9;5;0;B Konzil;5;1;162;;
32;9;6;0;9 auf 14;6;1;161;;
33;9;7;0;9B Kurz;7;1;154;;
34;9;8;0;14 auf 9;8;1;167;;
35;9;9;0;9BA Konzil;9;1;160;;
36;9;10;0;9 BAB kurz;10;1;158;;
37;9;11;0;9 AB kurz;11;1;159;;
38;9;13;0;9A;13;1;152;;
39;9;14;0;Schottenplatz-Universität;14;1;159;;
40;9;15;0;Bürgerbüro-Universität;15;1;154;;
41;9;16;0;Tannenhof-Universität;16;1;154;;
42;9;17;0;9A;17;1;167;;
43;9;18;0;ab Schulth;18;1;152;;
44;11;1;0;Standard;1;1;184;;
45;11;2;1;Standard;2;1;183;;
46;11;5;1;kurz;5;1;174;;
47;11;6;0;Dingelsdorf / Ortsmitte-Universität West;6;1;185;;
48;11;7;1;über Schwaketen;7;1;180;;
49;11;9;0;über Herosestr.;9;1;170;;
50;11;10;0;über BHF Wollm;10;1;168;;
51;11;11;0;Bahnhof Wollmatingen-Universität West;11;1;170;;
52;12;1;0;Standard;1;1;190;;
53;12;2;0;Sonntag;2;1;420;;
54;14;1;0;Standard;1;1;210;;
55;14;2;0;Standard;2;1;96;;
56;14;3;0;über Bahnhof;3;1;210;;
57;14;4;0;Standard;4;1;210;;
58;15;2;1;Kurs 7:10;2;1;270;;
59;15;3;0;Standard;3;1;330;;
60;15;4;1;Standard;4;1;270;;
61;15;5;0;Kurs 16:10;5;1;330;;
62;93;1;0;Standard;1;1;157;;
63;93;2;1;Standard;2;1;156;;
64;123;3;0;Standard;3;1;223;;
65;123;5;1;Standard;5;1;220;;
66;123;7;1;Kurs 20:27;7;1;220;;
67;134;1;0;Standard;1;1;790;;
68;134;2;0;Standard kurz;2;1;790;;
69;134;3;0;ab Wallh;3;1;792;;
70;134;4;0;Bahnhof-Marktstätte / Bahnhof;4;1;794;;
71;413;1;0;Standard;1;1;774;;
72;413;2;0;bis Wallhausen;2;1;780;;
73;413;3;0;über Staad;3;1;774;;
74;413;4;0;über Wollmatingen;4;1;779;;
